n_docs,target_db,batch_size,status,runs_found,p@5,p@10,p@20,map,out_file
10000,pinecone,100,done,9,0.0,0.0,0.0,0.0,C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_H1_ingest_10000_1769347921.json
10000,weaviate,100,done,10,0.0,0.0,0.0,0.0,C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_H1_ingest_10000_1769347929.json
10000,pinecone,500,done,9,0.0,0.0,0.0,0.0,C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_H1_ingest_10000_1769347921.json
10000,weaviate,500,done,10,0.0,0.0,0.0,0.0,C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_H1_ingest_10000_1769347929.json
10000,pinecone,1000,done,9,0.0,0.0,0.0,0.0,C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_H1_ingest_10000_1769347921.json
10000,weaviate,1000,done,10,0.0,0.0,0.0,0.0,C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_H1_ingest_10000_1769347929.json
50000,pinecone,100,done,9,0.063,0.0335,0.01875,0.2772000519904932,C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_H1_ingest_50000_1769347953.json
50000,weaviate,100,done,13,0.063,0.0335,0.01875,0.2772000519904932,C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_H1_ingest_50000_1769347952.json
50000,pinecone,500,done,9,0.063,0.0335,0.01875,0.2772000519904932,C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_H1_ingest_50000_1769347953.json
50000,weaviate,500,done,13,0.063,0.0335,0.01875,0.2772000519904932,C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_H1_ingest_50000_1769347952.json
50000,pinecone,1000,done,9,0.063,0.0335,0.01875,0.2772000519904932,C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_H1_ingest_50000_1769347953.json
50000,weaviate,1000,done,13,0.063,0.0335,0.01875,0.2772000519904932,C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_H1_ingest_50000_1769347952.json
100000,pinecone,100,done,6,0.057999999999999996,0.033,0.017,0.25743822792274806,C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_H1_ingest_100000_1769347971.json
100000,weaviate,100,done,13,0.057999999999999996,0.033,0.017,0.25743822792274806,C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_H1_ingest_100000_1769347987.json
100000,pinecone,500,done,6,0.057999999999999996,0.033,0.017,0.25743822792274806,C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_H1_ingest_100000_1769347971.json
100000,weaviate,500,done,13,0.057999999999999996,0.033,0.017,0.25743822792274806,C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_H1_ingest_100000_1769347987.json
100000,pinecone,1000,done,6,0.057999999999999996,0.033,0.017,0.25743822792274806,C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_H1_ingest_100000_1769347971.json
100000,weaviate,1000,done,13,0.057999999999999996,0.033,0.017,0.25743822792274806,C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_H1_ingest_100000_1769347987.json
500000,pinecone,100,done,7,0.0,0.0,0.0,0.0,C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_H1_ingest_500000_1769348056.json
500000,weaviate,100,done,12,0.0,0.0,0.0,0.0,C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_H1_ingest_500000_1769348124.json
500000,pinecone,500,done,7,0.0,0.0,0.0,0.0,C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_H1_ingest_500000_1769348056.json
500000,weaviate,500,done,12,0.0,0.0,0.0,0.0,C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_H1_ingest_500000_1769348124.json
500000,pinecone,1000,done,7,0.0,0.0,0.0,0.0,C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_H1_ingest_500000_1769348056.json
500000,weaviate,1000,done,12,0.0,0.0,0.0,0.0,C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_H1_ingest_500000_1769348124.json
