file,n_docs,batch_size,mean_s,p50_s,p90_s,p99_s,qps,ingest_vps
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_debug_10k_H1_ingest_10000_1769350031.json,10000,1000,0.04352839787801107,0.041825294494628906,0.051869440078735354,0.05697113752365113,22.973508071730866,14338.226345692348
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_debug_H1_ingest_1000_1769348349.json,1000,100,0.010525798797607422,0.0050106048583984375,0.026916503906250003,0.03982243537902832,95.00466608076397,50178.90341799562
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_debug_hfbert_H1_ingest_1000_1769349140.json,1000,50,0.0016232967376708985,0.0,0.005823206901550292,0.008027274608612061,616.0303146021208,19343.565525383707
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_debug_real_H1_ingest_1000_1769348932.json,1000,100,0.0032991647720336916,0.0002770423889160156,0.01076962947845459,0.011397459506988526,303.10701923007434,25843.067424937923
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_100000_1769341549.json,100000,100,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_100000_1769341554.json,100000,500,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_100000_1769341559.json,100000,1000,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_100000_1769341640.json,100000,100,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_100000_1769341645.json,100000,500,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_100000_1769341650.json,100000,1000,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_100000_1769341653.json,100000,100,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_100000_1769341659.json,100000,500,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_100000_1769341664.json,100000,1000,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_10000_1769341484.json,10000,100,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_10000_1769341485.json,10000,1000,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_10000_1769341577.json,10000,100,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_10000_1769341581.json,10000,500,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_10000_1769341586.json,10000,1000,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_500000_1769341683.json,500000,100,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_500000_1769341702.json,500000,100,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_500000_1769341715.json,500000,100,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_500000_1769341725.json,500000,100,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_500000_1769341726.json,500000,100,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_500000_1769341729.json,500000,500,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_500000_1769341733.json,500000,500,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_500000_1769341734.json,500000,500,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_500000_1769341746.json,500000,1000,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_500000_1769341757.json,500000,1000,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_50000_1769341507.json,50000,100,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_50000_1769341510.json,50000,500,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_50000_1769341512.json,50000,1000,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_50000_1769341601.json,50000,100,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_50000_1769341616.json,50000,500,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_50000_1769341624.json,50000,100,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_config_error_H1_ingest_50000_1769341626.json,50000,500,,,,,,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_H1_ingest_100000_1769341544.json,100000,100,,,,,,
