n_docs,mean_mean_s,median_p50_s,median_p90_s,median_p99_s,mean_qps,mean_ingest_vps
1000,0.005149420102437337,0.0002770423889160156,0.01076962947845459,0.011397459506988526,338.0473333043197,31788.512122772416
10000,0.025181392828623455,0.01784878969192505,0.03666100502014161,0.04205401659011841,46.416599850289224,29473.6605937
50000,0.0749618477291531,0.07558190822601318,0.0816335678100586,0.08840269327163697,13.341608189363034,61470.53360483629
100000,0.22534404357274374,0.1628507375717163,0.1668992280960083,0.17384591341018676,5.120990824163719,39316.47178834953
200000,,,,,,
300000,,,,,,
400000,,,,,,
500000,0.9061435222625732,0.8382980823516846,0.9126636981964111,0.9362431049346924,1.116499106428137,51427.66405611251
600000,,,,,,
800000,,,,,,
1000000,,,,,,
