file,n_docs,batch_size,p@1,p@5,p@10,r@1,r@5,r@10,mrr,query_latency_mean_s,encode_total_s
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_local_H2_relevance_1000000_1769343621.json,1000000,256,,0.05333333333333334,0.02666666666666667,,0.26666666666666666,0.26666666666666666,0.26666666666666666,,151.3162636756897
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_local_H2_relevance_100000_1769343409.json,100000,256,,0.07333333333333333,0.04000000000000001,,0.36666666666666664,0.4,0.32361111111111107,,3.8074753284454346
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_local_H2_relevance_10000_1769343398.json,10000,256,,0.10000000000000002,0.05666666666666667,,0.5,0.5666666666666667,0.42486111111111113,,1.571420431137085
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_local_rerun_H2_relevance_1000000_1769359622.json,1000000,256,,0.06666666666666667,0.03333333333333333,,0.3333333333333333,0.3333333333333333,0.2944444444444444,,33.02757716178894
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_local_rerun_H2_relevance_1000000_1769359674.json,1000000,256,,0.04666666666666667,0.02666666666666667,,0.23333333333333334,0.26666666666666666,0.21444444444444447,,34.292816400527954
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_local_rerun_H2_relevance_100000_1769359458.json,100000,256,,0.07600000000000001,0.0405,,0.38,0.405,0.36083053751803745,,3.36370849609375
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_local_rerun_H2_relevance_100000_1769359515.json,100000,256,,0.088,0.046,,0.44,0.46,0.39111852240896355,,3.3341126441955566
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_local_rerun_H2_relevance_10000_1769359445.json,10000,256,,0.10099999999999998,0.056999999999999995,,0.505,0.57,0.45428566703334505,,0.3397073745727539
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_local_rerun_H2_relevance_10000_1769359447.json,10000,256,,0.102,0.055999999999999994,,0.51,0.56,0.4309864926739927,,0.3383498191833496
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_relevance_1000000_1769292572.json,1000000,256,0.0,0.0,0.0,0.0,0.0,0.0,,,43.00312423706055
