file,n_docs,batch_size,error
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_local_rerun_config_error_H2_relevance_1000000_1769359217.json,1000000,256,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_local_rerun_config_error_H2_relevance_1000000_1769359226.json,1000000,256,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_local_rerun_config_error_H2_relevance_100000_1769359208.json,100000,256,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_local_rerun_config_error_H2_relevance_100000_1769359209.json,100000,256,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_local_rerun_config_error_H2_relevance_10000_1769359207.json,10000,256,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_local_rerun_config_error_H2_relevance_1000000_1769359217.json,1000000,256,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_local_rerun_config_error_H2_relevance_1000000_1769359226.json,1000000,256,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_local_rerun_config_error_H2_relevance_100000_1769359208.json,100000,256,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_local_rerun_config_error_H2_relevance_100000_1769359209.json,100000,256,
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H2_local_rerun_config_error_H2_relevance_10000_1769359207.json,10000,256,
