n_docs,mean_p@1,mean_p@5,mean_p@10,mean_r@1,mean_r@5,mean_r@10,mean_mrr,mean_query_latency_s
10000,0.0,0.0606,0.03393333333333333,0.0,0.303,0.3393333333333333,0.4367110902728163,
20000,0.0,0.0,0.0,0.0,0.0,0.0,,
50000,0.0,0.0,0.0,0.0,0.0,0.0,,
80000,0.0,0.0,0.0,0.0,0.0,0.0,,
100000,0.0,0.059333333333333335,0.031625,0.0,0.29666666666666663,0.31625000000000003,0.358520057012704,
200000,0.0,0.0,0.0,0.0,0.0,0.0,,
300000,0.0,0.0,0.0,0.0,0.0,0.0,,
500000,0.0,0.0,0.0,0.0,0.0,0.0,,
750000,0.0,0.0,0.0,0.0,0.0,0.0,,
1000000,0.0,0.04166666666666667,0.021666666666666667,0.0,0.20833333333333331,0.21666666666666667,0.2585185185185185,
