file,n_docs,batch_size,model,p@5,r@5,map,query_latency_mean_s,encode_total_s
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_H3_model_effect_1000000_1769344758.json,1000000,256,bert,0.04,0.2,0.20673076923076922,0.13256304264068602,45.229724407196045
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_H3_model_effect_1000000_1769344826.json,1000000,256,sentence_transformer,0.04,0.2,0.1875,0.14756348927815754,43.770450830459595
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_H3_model_effect_100000_1769344603.json,100000,256,bert,0.060000000000000005,0.3,0.26154882154882153,0.016862018903096517,4.528432369232178
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_H3_model_effect_100000_1769344691.json,100000,256,sentence_transformer,0.04666666666666666,0.23333333333333334,0.2412037037037037,0.01725474198659261,4.469151973724365
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_H3_model_effect_10000_1769344591.json,10000,256,bert,0.09333333333333335,0.4666666666666667,0.4304112554112554,0.0018246968587239583,0.4840378761291504
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_H3_model_effect_10000_1769344679.json,10000,256,sentence_transformer,0.08666666666666668,0.43333333333333335,0.36180555555555555,0.0020050923029581707,0.5012810230255127
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_800k_H3_model_effect_800000_1769366980.json,800000,256,bert,0.0,0.0,,0.13830506801605225,32.39650750160217
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_800k_H3_model_effect_800000_1769367034.json,800000,256,sentence_transformer,0.0,0.0,,0.09863627751668294,41.488823890686035
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_force_H3_model_effect_100000_1769366127.json,100000,256,bert,0.074,0.37,0.3329762870858072,0.013011132478713988,3.577011823654175
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_force_H3_model_effect_100000_1769366143.json,100000,256,sentence_transformer,0.07400000000000001,0.37,0.3359805973180586,0.01262829065322876,4.275315761566162
