n_docs,mean_p@1,mean_p@5,mean_p@10,mean_r@1,mean_r@5,mean_r@10,mean_map,mean_query_latency_s
10000,0.0,0.067,0.037187500000000005,0.0,0.335,0.371875,0.3960955209830016,0.0015170031785964966
50000,0.0,0.05572,0.031259999999999996,0.0,0.2786,0.3126,0.30728218018221887,0.005682686567306519
100000,0.0,0.05238095238095238,0.028357142857142855,0.0,0.2619047619047619,0.2835714285714286,0.28003994663746984,0.014043563273217943
200000,0.0,0.03128,0.01684,0.0,0.1564,0.1684,0.24343338506465442,0.028084492087364195
300000,0.0,0.022533333333333336,0.012333333333333333,0.0,0.11266666666666666,0.12333333333333332,0.25675112353247026,0.042761176228523254
400000,0.0,0.027809523809523815,0.015380952380952382,0.0,0.13904761904761906,0.1538095238095238,0.22516915755383246,0.06930419286092122
500000,0.0,0.031200000000000002,0.0171,0.0,0.156,0.171,0.23114870777370777,0.08256543159484864
600000,0.0,0.035555555555555556,0.02,0.0,0.17777777777777778,0.19999999999999998,0.21499567562067562,0.0721779187520345
800000,0.0,0.008,0.004,0.0,0.04,0.04,0.185,0.1395624816417694
1000000,0.0,0.037000000000000005,0.019958333333333335,0.0,0.185,0.19958333333333333,0.23669989732489732,0.13453816440370348
